time_ms,takeoff,urm_is_reliable,air_gps_hour,air_gps_minute,air_gps_second,air_gps_centisecond,air_gps_latitude_deg,air_gps_longitude,air_gps_altitude_m,air_gps_groundspeed_ms,air_gps_heading_deg,filtered_bmp_altitude_m,filtered_urm_altitude_m,filtered_airspeed_ms,air_bmp_pressure_hPa,air_bmp_temperature_deg,air_bmp_altitude_m,air_sdp_differentialPressure_Pa,air_sdp_airspeed_ms,air_AoA_angle_deg,air_AoS_angle_deg,ics_angle,fslg_is_alive,fslg_bno_qw,fslg_bno_qx,fslg_bno_qy,fslg_bno_qz,fslg_bno_roll,fslg_bno_pitch,fslg_bno_yaw,fslg_lsm_roll,fslg_lsm_pitch,fslg_lsm_yaw,fslg_bmp_pressure_hPa,fslg_temperature_deg,fslg_bmp_altitude_m,fslg_bno_accx_mss,fslg_bno_accy_mss,fslg_bno_accz_mss,fslg_lsm_accx_mss,fslg_lsm_accy_mss,fslg_lsm_accz_mss,bno_cal_system,bno_cal_gyro,bno_cal_accel,bno_cal_mag,under_is_alive,under_bmp_pressure_hPa,under_bmp_temperature_deg,under_bmp_altitude_m,under_urm_altitude_m,under_tsd20_altitude_m
110,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
120,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
130,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
140,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
150,2,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
160,2,6,7,8,9,0,3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18,-19,-20,-21,-22,-23,-24,-25,-26,-27,-28,-29,-30,-31,-32,-33,-34,-35,-36,-37,-38,-39,-40,-41,-42
170,2,7,8,9,0,1,-1,-3,-5,-7,-9,-11,-13,-15,-17,-19,-21,-23,-25,-27,-29,-31,-33,-35,-37,-39,-41,-43,-45,-47,-49,-51,-53,-55,-57,-59,-61,-63,-65,-67,-69,-71,-73,-75,-77,-79,-81,-83,-85,-87,-89,-91
180,2,8,9,0,1,2,-2,-4,-6,-8,-10,-12,-14,-16,-18,-20,-22,-24,-26,-28,-30,-32,-34,-36,-38,-40,-42,-44,-46,-48,-50,-52,-54,-56,-58,-60,-62,-64,-66,-68,-70,-72,-74,-76,-78,-80,-82,-84,-86,-88,-90,-92
190,3,9,0,1,2,3,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18,-19,-20,-21,-22,-23,-24,-25,-26,-27,-28,-29,-30,-31,-32,-33,-34,-35,-36,-37,-38,-39,-40,-41,-42,-43,-44,-45
200,3,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
210,3,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
220,3,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
230,3,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
240,4,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
250,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
260,4,6,7,8,9,0,3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18,-19,-20,-21,-22,-23,-24,-25,-26,-27,-28,-29,-30,-31,-32,-33,-34,-35,-36,-37,-38,-39,-40,-41,-42
270,4,7,8,9,0,1,-1,-3,-5,-7,-9,-11,-13,-15,-17,-19,-21,-23,-25,-27,-29,-31,-33,-35,-37,-39,-41,-43,-45,-47,-49,-51,-53,-55,-57,-59,-61,-63,-65,-67,-69,-71,-73,-75,-77,-79,-81,-83,-85,-87,-89,-91
280,4,8,9,0,1,2,-2,-4,-6,-8,-10,-12,-14,-16,-18,-20,-22,-24,-26,-28,-30,-32,-34,-36,-38,-40,-42,-44,-46,-48,-50,-52,-54,-56,-58,-60,-62,-64,-66,-68,-70,-72,-74,-76,-78,-80,-82,-84,-86,-88,-90,-92
290,5,9,0,1,2,3,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18,-19,-20,-21,-22,-23,-24,-25,-26,-27,-28,-29,-30,-31,-32,-33,-34,-35,-36,-37,-38,-39,-40,-41,-42,-43,-44,-45
300,5,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
310,5,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
320,5,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
330,5,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
340,6,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
350,6,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
360,6,6,7,8,9,0,3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18,-19,-20,-21,-22,-23,-24,-25,-26,-27,-28,-29,-30,-31,-32,-33,-34,-35,-36,-37,-38,-39,-40,-41,-42
370,6,7,8,9,0,1,-1,-3,-5,-7,-9,-11,-13,-15,-17,-19,-21,-23,-25,-27,-29,-31,-33,-35,-37,-39,-41,-43,-45,-47,-49,-51,-53,-55,-57,-59,-61,-63,-65,-67,-69,-71,-73,-75,-77,-79,-81,-83,-85,-87,-89,-91
380,7,8,9,0,1,2,-2,-4,-6,-8,-10,-12,-14,-16,-18,-20,-22,-24,-26,-28,-30,-32,-34,-36,-38,-40,-42,-44,-46,-48,-50,-52,-54,-56,-58,-60,-62,-64,-66,-68,-70,-72,-74,-76,-78,-80,-82,-84,-86,-88,-90,-92
390,7,9,0,1,2,3,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18,-19,-20,-21,-22,-23,-24,-25,-26,-27,-28,-29,-30,-31,-32,-33,-34,-35,-36,-37,-38,-39,-40,-41,-42,-43,-44,-45
400,7,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
410,6.961538462,5.076923077,4.538461538,4.153846154,3.923076923,3.846153846,3.384615385,3.076923077,2.769230769,2.461538462,2.153846154,1.846153846,1.538461538,1.230769231,0.973076923,0.715384615,0.457692308,0.2,-0.057692308,-0.315384615,-0.573076923,-0.830769231,-1.088461538,-1.346153846,-1.603846154,-1.861538462,-2.119230769,-2.376923077,-2.634615385,-2.892307692,-3.15,-3.407692308,-3.665384615,-3.923076923,-4.180769231,-4.438461538,-4.696153846,-4.953846154,-5.211538462,-5.469230769,-5.726923077,-5.984615385,-6.242307692,-6.5,-6.757692308,-7.015384615,-7.273076923,-7.530769231,-7.788461538,-8.046153846,-8.303846154,-8.561538462
420,7.153564728,5.105065666,4.540337711,4.1369606,3.894934334,3.814258912,3.330206379,3.00750469,2.684803002,2.362101313,2.039399625,1.716697936,1.393996248,1.071294559,0.802251407,0.533208255,0.264165103,-0.004878049,-0.273921201,-0.542964353,-0.812007505,-1.081050657,-1.350093809,-1.619136961,-1.888180113,-2.157223265,-2.426266417,-2.695309568,-2.96435272,-3.233395872,-3.502439024,-3.771482176,-4.040525328,-4.30956848,-4.578611632,-4.847654784,-5.116697936,-5.385741088,-5.65478424,-5.923827392,-6.192870544,-6.461913696,-6.730956848,-7,-7.269043152,-7.538086304,-7.807129456,-8.076172608,-8.34521576,-8.614258912,-8.883302064,-9.152345216
430,7.345590994,5.133208255,4.542213884,4.120075047,3.866791745,3.782363977,3.275797373,2.938086304,2.600375235,2.262664165,1.924953096,1.587242026,1.249530957,0.911819887,0.631425891,0.351031895,0.070637899,-0.209756098,-0.490150094,-0.77054409,-1.050938086,-1.331332083,-1.611726079,-1.892120075,-2.172514071,-2.452908068,-2.733302064,-3.01369606,-3.294090056,-3.574484053,-3.854878049,-4.135272045,-4.415666041,-4.696060038,-4.976454034,-5.25684803,-5.537242026,-5.817636023,-6.098030019,-6.378424015,-6.658818011,-6.939212008,-7.219606004,-7.5,-7.780393996,-8.060787992,-8.341181989,-8.621575985,-8.901969981,-9.182363977,-9.462757974,-9.74315197
440,7.537617261,5.161350844,4.544090056,4.103189493,3.838649156,3.750469043,3.221388368,2.868667917,2.515947467,2.163227017,1.810506567,1.457786116,1.105065666,0.752345216,0.460600375,0.168855535,-0.122889306,-0.414634146,-0.706378987,-0.998123827,-1.289868668,-1.581613508,-1.873358349,-2.165103189,-2.45684803,-2.748592871,-3.040337711,-3.332082552,-3.623827392,-3.915572233,-4.207317073,-4.499061914,-4.790806754,-5.082551595,-5.374296435,-5.666041276,-5.957786116,-6.249530957,-6.541275797,-6.833020638,-7.124765478,-7.416510319,-7.708255159,-8,-8.291744841,-8.583489681,-8.875234522,-9.166979362,-9.458724203,-9.750469043,-10.04221388,-10.33395872
450,7.729643527,5.189493433,4.545966229,4.08630394,3.810506567,3.718574109,3.166979362,2.799249531,2.4315197,2.063789869,1.696060038,1.328330206,0.960600375,0.592870544,0.289774859,-0.013320826,-0.31641651,-0.619512195,-0.92260788,-1.225703565,-1.52879925,-1.831894934,-2.134990619,-2.438086304,-2.741181989,-3.044277674,-3.347373358,-3.650469043,-3.953564728,-4.256660413,-4.559756098,-4.862851782,-5.165947467,-5.469043152,-5.772138837,-6.075234522,-6.378330206,-6.681425891,-6.984521576,-7.287617261,-7.590712946,-7.89380863,-8.196904315,-8.5,-8.803095685,-9.10619137,-9.409287054,-9.712382739,-10.01547842,-10.31857411,-10.62166979,-10.92476548
460,7.921669794,5.217636023,4.547842402,4.069418386,3.782363977,3.686679174,3.112570356,2.729831144,2.347091932,1.96435272,1.581613508,1.198874296,0.816135084,0.433395872,0.118949343,-0.195497186,-0.509943715,-0.824390244,-1.138836773,-1.453283302,-1.767729831,-2.08217636,-2.396622889,-2.711069418,-3.025515947,-3.339962477,-3.654409006,-3.968855535,-4.283302064,-4.597748593,-4.912195122,-5.226641651,-5.54108818,-5.855534709,-6.169981238,-6.484427767,-6.798874296,-7.113320826,-7.427767355,-7.742213884,-8.056660413,-8.371106942,-8.685553471,-9,-9.314446529,-9.628893058,-9.943339587,-10.25778612,-10.57223265,-10.88667917,-11.2011257,-11.51557223
470,8.11369606,5.245778612,4.549718574,4.052532833,3.754221388,3.65478424,3.058161351,2.660412758,2.262664165,1.864915572,1.467166979,1.069418386,0.671669794,0.273921201,-0.051876173,-0.377673546,-0.703470919,-1.029268293,-1.355065666,-1.680863039,-2.006660413,-2.332457786,-2.658255159,-2.984052533,-3.309849906,-3.63564728,-3.961444653,-4.287242026,-4.6130394,-4.938836773,-5.264634146,-5.59043152,-5.916228893,-6.242026266,-6.56782364,-6.893621013,-7.219418386,-7.54521576,-7.871013133,-8.196810507,-8.52260788,-8.848405253,-9.174202627,-9.5,-9.825797373,-10.15159475,-10.47739212,-10.80318949,-11.12898687,-11.45478424,-11.78058161,-12.10637899
480,8.305722326,5.273921201,4.551594747,4.03564728,3.726078799,3.622889306,3.003752345,2.590994371,2.178236398,1.765478424,1.35272045,0.939962477,0.527204503,0.114446529,-0.222701689,-0.559849906,-0.896998124,-1.234146341,-1.571294559,-1.908442777,-2.245590994,-2.582739212,-2.91988743,-3.257035647,-3.594183865,-3.931332083,-4.2684803,-4.605628518,-4.942776735,-5.279924953,-5.617073171,-5.954221388,-6.291369606,-6.628517824,-6.965666041,-7.302814259,-7.639962477,-7.977110694,-8.314258912,-8.651407129,-8.988555347,-9.325703565,-9.662851782,-10,-10.33714822,-10.67429644,-11.01144465,-11.34859287,-11.68574109,-12.02288931,-12.36003752,-12.69718574
490,8.497748593,5.30206379,4.553470919,4.018761726,3.69793621,3.590994371,2.94934334,2.521575985,2.09380863,1.666041276,1.238273921,0.810506567,0.382739212,-0.045028143,-0.393527205,-0.742026266,-1.090525328,-1.43902439,-1.787523452,-2.136022514,-2.484521576,-2.833020638,-3.1815197,-3.530018762,-3.878517824,-4.227016886,-4.575515947,-4.924015009,-5.272514071,-5.621013133,-5.969512195,-6.318011257,-6.666510319,-7.015009381,-7.363508443,-7.712007505,-8.060506567,-8.409005629,-8.75750469,-9.106003752,-9.454502814,-9.803001876,-10.15150094,-10.5,-10.84849906,-11.19699812,-11.54549719,-11.89399625,-12.24249531,-12.59099437,-12.93949343,-13.2879925
500,8.689774859,5.330206379,4.555347092,4.001876173,3.669793621,3.559099437,2.894934334,2.452157598,2.009380863,1.566604128,1.123827392,0.681050657,0.238273921,-0.204502814,-0.56435272,-0.924202627,-1.284052533,-1.643902439,-2.003752345,-2.363602251,-2.723452158,-3.083302064,-3.44315197,-3.803001876,-4.162851782,-4.522701689,-4.882551595,-5.242401501,-5.602251407,-5.962101313,-6.32195122,-6.681801126,-7.041651032,-7.401500938,-7.761350844,-8.12120075,-8.481050657,-8.840900563,-9.200750469,-9.560600375,-9.920450281,-10.28030019,-10.64015009,-11,-11.35984991,-11.71969981,-12.07954972,-12.43939962,-12.79924953,-13.15909944,-13.51894934,-13.87879925
510,8.881801126,5.358348968,4.557223265,3.984990619,3.641651032,3.527204503,2.840525328,2.382739212,1.924953096,1.467166979,1.009380863,0.551594747,0.09380863,-0.363977486,-0.735178236,-1.106378987,-1.477579737,-1.848780488,-2.219981238,-2.591181989,-2.962382739,-3.33358349,-3.70478424,-4.075984991,-4.447185741,-4.818386492,-5.189587242,-5.560787992,-5.931988743,-6.303189493,-6.674390244,-7.045590994,-7.416791745,-7.787992495,-8.159193246,-8.530393996,-8.901594747,-9.272795497,-9.643996248,-10.015197,-10.38639775,-10.7575985,-11.12879925,-11.5,-11.87120075,-12.2424015,-12.61360225,-12.984803,-13.35600375,-13.7272045,-14.09840525,-14.469606
520,9.073827392,5.386491557,4.559099437,3.968105066,3.613508443,3.495309568,2.786116323,2.313320826,1.840525328,1.367729831,0.894934334,0.422138837,-0.05065666,-0.523452158,-0.906003752,-1.288555347,-1.671106942,-2.053658537,-2.436210131,-2.818761726,-3.201313321,-3.583864916,-3.96641651,-4.348968105,-4.7315197,-5.114071295,-5.496622889,-5.879174484,-6.261726079,-6.644277674,-7.026829268,-7.409380863,-7.791932458,-8.174484053,-8.557035647,-8.939587242,-9.322138837,-9.704690432,-10.08724203,-10.46979362,-10.85234522,-11.23489681,-11.61744841,-12,-12.38255159,-12.76510319,-13.14765478,-13.53020638,-13.91275797,-14.29530957,-14.67786116,-15.06041276
530,9.265853659,5.414634146,4.56097561,3.951219512,3.585365854,3.463414634,2.731707317,2.243902439,1.756097561,1.268292683,0.780487805,0.292682927,-0.195121951,-0.682926829,-1.076829268,-1.470731707,-1.864634146,-2.258536585,-2.652439024,-3.046341463,-3.440243902,-3.834146341,-4.22804878,-4.62195122,-5.015853659,-5.409756098,-5.803658537,-6.197560976,-6.591463415,-6.985365854,-7.379268293,-7.773170732,-8.167073171,-8.56097561,-8.954878049,-9.348780488,-9.742682927,-10.13658537,-10.5304878,-10.92439024,-11.31829268,-11.71219512,-12.10609756,-12.5,-12.89390244,-13.28780488,-13.68170732,-14.07560976,-14.4695122,-14.86341463,-15.25731707,-15.65121951
540,9.457879925,5.442776735,4.562851782,3.934333959,3.557223265,3.4315197,2.677298311,2.174484053,1.671669794,1.168855535,0.666041276,0.163227017,-0.339587242,-0.842401501,-1.247654784,-1.652908068,-2.058161351,-2.463414634,-2.868667917,-3.273921201,-3.679174484,-4.084427767,-4.489681051,-4.894934334,-5.300187617,-5.705440901,-6.110694184,-6.515947467,-6.92120075,-7.326454034,-7.731707317,-8.1369606,-8.542213884,-8.947467167,-9.35272045,-9.757973734,-10.16322702,-10.5684803,-10.97373358,-11.37898687,-11.78424015,-12.18949343,-12.59474672,-13,-13.40525328,-13.81050657,-14.21575985,-14.62101313,-15.02626642,-15.4315197,-15.83677298,-16.24202627
550,9.649906191,5.470919325,4.564727955,3.917448405,3.529080675,3.399624765,2.622889306,2.105065666,1.587242026,1.069418386,0.551594747,0.033771107,-0.484052533,-1.001876173,-1.4184803,-1.835084428,-2.251688555,-2.668292683,-3.084896811,-3.501500938,-3.918105066,-4.334709193,-4.751313321,-5.167917448,-5.584521576,-6.001125704,-6.417729831,-6.834333959,-7.250938086,-7.667542214,-8.084146341,-8.500750469,-8.917354597,-9.333958724,-9.750562852,-10.16716698,-10.58377111,-11.00037523,-11.41697936,-11.83358349,-12.25018762,-12.66679174,-13.08339587,-13.5,-13.91660413,-14.33320826,-14.74981238,-15.16641651,-15.58302064,-15.99962477,-16.41622889,-16.83283302
560,9.841932458,5.499061914,4.566604128,3.900562852,3.500938086,3.367729831,2.5684803,2.03564728,1.502814259,0.969981238,0.437148218,-0.095684803,-0.628517824,-1.161350844,-1.589305816,-2.017260788,-2.44521576,-2.873170732,-3.301125704,-3.729080675,-4.157035647,-4.584990619,-5.012945591,-5.440900563,-5.868855535,-6.296810507,-6.724765478,-7.15272045,-7.580675422,-8.008630394,-8.436585366,-8.864540338,-9.29249531,-9.720450281,-10.14840525,-10.57636023,-11.0043152,-11.43227017,-11.86022514,-12.28818011,-12.71613508,-13.14409006,-13.57204503,-14,-14.42795497,-14.85590994,-15.28386492,-15.71181989,-16.13977486,-16.56772983,-16.9956848,-17.42363977
570,10.03395872,5.527204503,4.5684803,3.883677298,3.472795497,3.335834897,2.514071295,1.966228893,1.418386492,0.87054409,0.322701689,-0.225140713,-0.772983114,-1.320825516,-1.760131332,-2.199437148,-2.638742964,-3.07804878,-3.517354597,-3.956660413,-4.395966229,-4.835272045,-5.274577861,-5.713883677,-6.153189493,-6.59249531,-7.031801126,-7.471106942,-7.910412758,-8.349718574,-8.78902439,-9.228330206,-9.667636023,-10.10694184,-10.54624765,-10.98555347,-11.42485929,-11.8641651,-12.30347092,-12.74277674,-13.18208255,-13.62138837,-14.06069418,-14.5,-14.93930582,-15.37861163,-15.81791745,-16.25722326,-16.69652908,-17.1358349,-17.57514071,-18.01444653
580,10.22598499,5.555347092,4.570356473,3.866791745,3.444652908,3.303939962,2.459662289,1.896810507,1.333958724,0.771106942,0.208255159,-0.354596623,-0.917448405,-1.480300188,-1.930956848,-2.381613508,-2.832270169,-3.282926829,-3.73358349,-4.18424015,-4.634896811,-5.085553471,-5.536210131,-5.986866792,-6.437523452,-6.888180113,-7.338836773,-7.789493433,-8.240150094,-8.690806754,-9.141463415,-9.592120075,-10.04277674,-10.4934334,-10.94409006,-11.39474672,-11.84540338,-12.29606004,-12.7467167,-13.19737336,-13.64803002,-14.09868668,-14.54934334,-15,-15.45065666,-15.90131332,-16.35196998,-16.80262664,-17.2532833,-17.70393996,-18.15459662,-18.60525328
590,10.41801126,5.583489681,4.572232645,3.849906191,3.416510319,3.272045028,2.405253283,1.82739212,1.249530957,0.671669794,0.09380863,-0.484052533,-1.061913696,-1.639774859,-2.101782364,-2.563789869,-3.025797373,-3.487804878,-3.949812383,-4.411819887,-4.873827392,-5.335834897,-5.797842402,-6.259849906,-6.721857411,-7.183864916,-7.64587242,-8.107879925,-8.56988743,-9.031894934,-9.493902439,-9.955909944,-10.41791745,-10.87992495,-11.34193246,-11.80393996,-12.26594747,-12.72795497,-13.18996248,-13.65196998,-14.11397749,-14.57598499,-15.0379925,-15.5,-15.9620075,-16.42401501,-16.88602251,-17.34803002,-17.81003752,-18.27204503,-18.73405253,-19.19606004
600,10.61003752,5.61163227,4.574108818,3.833020638,3.38836773,3.240150094,2.350844278,1.757973734,1.165103189,0.572232645,-0.020637899,-0.613508443,-1.206378987,-1.799249531,-2.27260788,-2.745966229,-3.219324578,-3.692682927,-4.166041276,-4.639399625,-5.112757974,-5.586116323,-6.059474672,-6.532833021,-7.00619137,-7.479549719,-7.952908068,-8.426266417,-8.899624765,-9.372983114,-9.846341463,-10.31969981,-10.79305816,-11.26641651,-11.73977486,-12.21313321,-12.68649156,-13.15984991,-13.63320826,-14.1065666,-14.57992495,-15.0532833,-15.52664165,-16,-16.47335835,-16.9467167,-17.42007505,-17.8934334,-18.36679174,-18.84015009,-19.31350844,-19.78686679
610,10.80206379,5.639774859,4.575984991,3.816135084,3.360225141,3.208255159,2.296435272,1.688555347,1.080675422,0.472795497,-0.135084428,-0.742964353,-1.350844278,-1.958724203,-2.443433396,-2.928142589,-3.412851782,-3.897560976,-4.382270169,-4.866979362,-5.351688555,-5.836397749,-6.321106942,-6.805816135,-7.290525328,-7.775234522,-8.259943715,-8.744652908,-9.229362101,-9.714071295,-10.19878049,-10.68348968,-11.16819887,-11.65290807,-12.13761726,-12.62232645,-13.10703565,-13.59174484,-14.07645403,-14.56116323,-15.04587242,-15.53058161,-16.01529081,-16.5,-16.98470919,-17.46941839,-17.95412758,-18.43883677,-18.92354597,-19.40825516,-19.89296435,-20.37767355
620,10.99409006,5.667917448,4.577861163,3.799249531,3.332082552,3.176360225,2.242026266,1.619136961,0.996247655,0.373358349,-0.249530957,-0.872420263,-1.495309568,-2.118198874,-2.614258912,-3.110318949,-3.606378987,-4.102439024,-4.598499062,-5.094559099,-5.590619137,-6.086679174,-6.582739212,-7.07879925,-7.574859287,-8.070919325,-8.566979362,-9.0630394,-9.559099437,-10.05515947,-10.55121951,-11.04727955,-11.54333959,-12.03939962,-12.53545966,-13.0315197,-13.52757974,-14.02363977,-14.51969981,-15.01575985,-15.51181989,-16.00787992,-16.50393996,-17,-17.49606004,-17.99212008,-18.48818011,-18.98424015,-19.48030019,-19.97636023,-20.47242026,-20.9684803
